time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss
40960,-90.52009515000002,5,30.26,885,46,4.9072651863098145,0.21033935546875,0.0003,0.015613329,0.2,-6.558107770234346,0.8855291455984116,9.48036038391292,170,-0.022431208968009743
49152,-90.25237659,6,30.99,864,56,3.322584867477417,0.2265380859375,0.0003,0.017439488,0.2,-6.4817794121801855,0.8955146819353104,9.66091532614082,180,-0.02101720095706696
57344,-88.42220414000002,7,31.65,845,67,5.869898319244385,0.20159912109375,0.0003,0.015560439,0.2,-6.420538226887584,0.8694311082363129,12.39528517946601,190,-0.019621498623746448
65536,-88.00127460000002,8,30.88,858,76,4.545224666595459,0.20697021484375,0.0003,0.016289752,0.2,-6.350705676153302,0.8976428210735321,10.126466211676597,200,-0.019016896414541407
73728,-85.97793008,9,31.7,851,86,4.1813740730285645,0.207763671875,0.0003,0.01572357,0.2,-6.2424757946282625,0.8900039419531822,11.956330106779934,210,-0.017803391865163574
81920,-84.61443056000002,10,32.97,837,97,7.055308818817139,0.20838623046875,0.0003,0.015691888,0.2,-6.163541993871331,0.8973869904875755,12.016749530285598,220,-0.019075112344580702
90112,-84.14194886000001,11,33.46,835,107,6.915652751922607,0.17679443359375,0.0003,0.013270365,0.2,-6.080318170785904,0.8756229877471924,14.922703185677529,230,-0.015845381112376343
98304,-83.73301916,12,33.77,827,118,5.2466816902160645,0.2112548828125,0.0003,0.015222743,0.2,-6.027659459412098,0.9132457077503204,11.65490724928677,240,-0.01514597873792809
106496,-81.59856164,13,35.4,829,128,5.235910415649414,0.1998779296875,0.0003,0.014234237,0.2,-5.960232625901699,0.8974535018205643,15.082055953517557,250,-0.015638228015814094
8192,-81.74618191,1,34.01,2013,4,6.361132621765137,0.20526123046875,0.0003,0.015415261,0.2,-5.876872493326664,0.911589115858078,13.7612712983042,260,-0.016209616063861176
16384,-79.45687446000001,2,35.43,1089,15,11.822652816772461,0.1902099609375,0.0003,0.013741138,0.2,-5.788003351911902,0.8718683421611786,19.1486073192209,270,-0.015382432049409544
24576,-78.81394311,3,35.45,931,26,4.842438220977783,0.20972900390625,0.0003,0.014780618,0.2,-5.720234416425228,0.9101918488740921,13.823657186701894,280,-0.01645410466098838
32768,-74.95677776,4,37.46,898,36,10.482343673706055,0.1989990234375,0.0003,0.015062679,0.2,-5.592119413614273,0.9108936563134193,15.381273099407554,290,-0.014897331352767652
40960,-74.6347084,5,37.5,872,46,6.859731674194336,0.20484619140625,0.0003,0.014212214,0.2,-5.511373479291796,0.9239941984415054,14.421833430603147,300,-0.014953349911957048
49152,-73.79898202999999,6,38.24,871,56,11.9071626663208,0.20706787109375,0.0003,0.014704413,0.2,-5.461342111974955,0.916450098156929,17.500454052910207,310,-0.014220333513185324
57344,-71.00966883,7,40.06,846,67,11.552486419677734,0.19356689453125,0.0003,0.014553701,0.2,-5.3161416806280615,0.9106443300843239,19.350748278945684,320,-0.013067365984352364
65536,-71.18299447,8,39.99,836,78,5.020641803741455,0.21650390625,0.0003,0.015680326,0.2,-5.273795488849283,0.9411136321723461,14.281112753599881,330,-0.013779536584115704
