time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss
3352,4,28.97,16384,-94.78071219999998,1,0.8981134817004204,0.0087930085,-2.2200556649826466,0.2,0.0003,2.061250925064087,-0.009246944462302054,140,0.100372314453125,6.587499006185681
1879,17,28.79,32768,-94.46040904000002,2,0.878881461918354,0.0075606355,-2.1978283611126246,0.2,0.0003,3.6296088695526123,-0.008654798168754496,150,0.086285400390625,8.014041479770095
1665,29,29.23,49152,-95.16183033000002,3,0.8852128237485886,0.007702631,-2.179854488838464,0.2,0.0003,3.4728612899780273,-0.00829609679085479,160,0.092437744140625,7.676156563684344
1529,42,29.35,65536,-94.30938764999999,4,0.8768376782536507,0.008058423,-2.1663422073237597,0.2,0.0003,4.377264499664307,-0.00730477449560567,170,0.081475830078125,8.267483068443834
1498,54,29.6,81920,-94.60836749,5,0.8895320743322372,0.0077647483,-2.1437753786332907,0.2,0.0003,3.7108728885650635,-0.008293805258108477,180,0.093280029296875,7.610215756110847
1480,66,29.3,98304,-93.85161465000002,6,0.8877080529928207,0.008357206,-2.125009526871145,0.2,0.0003,2.8995909690856934,-0.008470641901294585,190,0.097772216796875,7.981513405032456
1477,77,30.44,114688,-93.11078447,7,0.8706616461277008,0.0085026035,-2.104502827581018,0.2,0.0003,2.8665528297424316,-0.007233564006401139,200,0.084967041015625,9.302060624584556
3519,4,29.42,16384,-92.17673647000001,1,0.8615482598543167,0.0084212255,-2.0802977565675973,0.2,0.0003,5.5602707862854,-0.008239580950157688,210,0.095233154296875,10.130490584298968
2060,15,29.48,32768,-91.49818455999998,2,0.8587625324726105,0.0092918,-2.05428118314594,0.2,0.0003,3.42279052734375,-0.008327206179274071,220,0.096466064453125,10.221833107899874
1825,26,29.27,49152,-92.3301797,3,0.8515618741512299,0.007162741,-2.035601529898122,0.2,0.0003,5.334212303161621,-0.006769481591618387,230,0.073541259765625,11.500270424969495
1693,38,29.15,65536,-91.9885886,4,0.8453506976366043,0.009350597,-2.0191944774705917,0.2,0.0003,3.907869338989258,-0.008649705002244445,240,0.100335693359375,12.178699444048107
1549,52,29.56,81920,-90.90297031999998,5,0.8486612141132355,0.007918193,-1.9938909879885613,0.2,0.0003,5.79716157913208,-0.008117272741492343,250,0.091455078125,11.970438495464624
1487,66,30.83,98304,-90.67981409999997,6,0.8371308892965317,0.0075776987,-1.9744517511222512,0.2,0.0003,5.465944290161133,-0.006754798946349183,260,0.077252197265625,13.325727980025112
1450,79,30.17,114688,-90.74401424,7,0.8199666887521744,0.007998866,-1.946874937415123,0.2,0.0003,8.65924072265625,-0.0074029307395903745,270,0.08663330078125,14.910616903193295
3273,5,30.19,16384,-88.86580290000002,1,0.8454569429159164,0.00773479,-1.934035945357755,0.2,0.0003,6.24038553237915,-0.00573194214493924,280,0.0857421875,12.960808041132987
1839,17,30.09,32768,-89.61374377000001,2,0.8283764123916626,0.0078109214,-1.90199100705795,0.2,0.0003,7.790074348449707,-0.0077306881147706005,290,0.09613037109375,15.050025001913308
1659,29,30.59,49152,-87.35205425999999,3,0.8217956125736237,0.008627079,-1.8863406423479319,0.2,0.0003,8.850053787231445,-0.007766254378293524,300,0.091973876953125,16.501765215024353
1563,41,30.15,65536,-86.69739512000002,4,0.8237097710371017,0.009145154,-1.8527860911097378,0.2,0.0003,9.993593215942383,-0.007868083305493202,310,0.101788330078125,17.27191780656576
1460,56,29.1,81920,-86.10548716000002,5,0.8291122764348984,0.009195323,-1.8213893450796603,0.2,0.0003,8.699265480041504,-0.008501182956115372,320,0.1091064453125,18.048266170732678
1379,71,30.63,98304,-84.45980298999999,6,0.8247621804475784,0.00851986,-1.8087790805846453,0.2,0.0003,10.070980072021484,-0.00855814759729583,330,0.10360107421875,19.905210783332585
1308,87,31.84,114688,-82.20388677000001,7,0.8355351090431213,0.008838042,-1.792142370250076,0.2,0.0003,9.134684562683105,-0.008634534087195788,340,0.100726318359375,19.560816276445983
2986,5,31.12,16384,-82.25621967,1,0.8537841141223907,0.008634599,-1.7710412884131075,0.2,0.0003,9.620556831359863,-0.008172870806538413,350,0.103607177734375,18.68086869455874
1555,21,31.85,32768,-81.29630103000001,2,0.853347972035408,0.009169222,-1.7479845642112195,0.2,0.0003,5.899481773376465,-0.00940950275899013,360,0.10611572265625,19.951583873108028
1387,35,32.36,49152,-80.65865704,3,0.8535275161266327,0.008953854,-1.7300177512690424,0.2,0.0003,13.627096176147461,-0.007729977790404519,370,0.104461669921875,20.55165994875133
1303,50,32.56,65536,-80.53348142,4,0.875620886683464,0.008084197,-1.7103247669525445,0.2,0.0003,11.263004302978516,-0.006803615053377144,380,0.09383544921875,18.553213235549627
