time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates
12,-99.31841544999999,1330,16384,1,28.91,,,,,,,,,,
43,-97.84138702000001,377,16384,1,27.82,112.54119110107422,0.11153564453125,-2.7243221399374304,0.2,0.008905677,0.0003,-0.008496053691033012,448.60230683088304,0.011442899703979492,10
48,-98.56456849,338,16384,1,28.12,24.613262176513672,0.123736572265625,-2.724956000316888,0.2,0.009280829,0.0003,-0.008575435399598064,56.71492204964161,0.7537742257118225,20
47,-98.24849226,348,16384,1,28.38,8.028189659118652,0.1103271484375,-2.723863619286567,0.2,0.008837819,0.0003,-0.008901622293069521,23.375263711810113,0.6316179633140564,30
37,-99.24019642000002,435,16384,1,28.07,8.11502456665039,0.109490966796875,-2.7256061754189433,0.2,0.009428469,0.0003,-0.009207908378266438,18.92598498314619,0.688021183013916,40
36,-99.44957898000001,444,16384,1,28.95,5.961994171142578,0.10780029296875,-2.7247979753650724,0.2,0.009294254,0.0003,-0.009108170583931496,21.574396134912966,0.6796916723251343,50
42,-96.42464090000001,385,16384,1,27.24,8.89852237701416,0.111651611328125,-2.7205361274071036,0.2,0.009733327,0.0003,-0.010018828301053873,19.23944534882903,0.7144010066986084,60
40,-97.36738688,399,16384,1,26.89,10.854262351989746,0.1127197265625,-2.7209431792609395,0.2,0.010160822,0.0003,-0.009983162401726985,19.664768650196493,0.7062306702136993,70
38,-97.38494593000001,430,16384,1,27.57,7.995258331298828,0.118231201171875,-2.721374234743416,0.2,0.009765547,0.0003,-0.01021673069562894,17.54046350475401,0.7338820695877075,80
37,-98.08953845999999,442,16384,1,27.57,11.00368881225586,0.11185302734375,-2.717995998635888,0.2,0.00995452,0.0003,-0.010179100632194604,19.320173078589143,0.713575929403305,90
35,-98.78138824,467,16384,1,28.7,7.311983108520508,0.118902587890625,-2.716393575631082,0.2,0.009662036,0.0003,-0.010595364332311874,17.92464672047645,0.7227893471717834,100
33,-99.36486492,493,16384,1,27.17,5.954246997833252,0.11817626953125,-2.715531710721552,0.2,0.01012147,0.0003,-0.010065769052425821,18.240708925016225,0.7216317057609558,110
36,-95.80293795,451,16384,1,29.02,12.096209526062012,0.11552734375,-2.7148136938922107,0.2,0.009652885,0.0003,-0.009826813233303255,19.99441525936127,0.7004201114177704,120
36,-98.63786132000001,451,16384,1,28.07,12.288849830627441,0.116668701171875,-2.7157461417838933,0.2,0.009333946,0.0003,-0.010731779116122197,22.716538543999196,0.674284428358078,130
33,-96.30129780000001,493,16384,1,27.0,10.53995418548584,0.114990234375,-2.710907808598131,0.2,0.00990233,0.0003,-0.010227746754299005,20.39982877112925,0.698427677154541,140
34,-98.63701853999999,479,16384,1,27.32,8.876391410827637,0.1183837890625,-2.7084062203764914,0.2,0.009850295,0.0003,-0.010205887177880868,21.355938097648323,0.685880035161972,150
36,-96.88136935,443,16384,1,26.63,15.065629959106445,0.116094970703125,-2.7055054074153304,0.2,0.010249807,0.0003,-0.010778878066139442,19.556678096018732,0.7015814781188965,160
34,-99.8468649,479,16384,1,29.0,10.926088333129883,0.130999755859375,-2.70475688399747,0.2,0.01099376,0.0003,-0.012259015907966386,19.148699238337578,0.7287092506885529,170
35,-96.91719165000002,466,16384,1,28.39,6.751589775085449,0.122955322265625,-2.7016422605141996,0.2,0.009760439,0.0003,-0.01116000035808611,16.040002799592912,0.7576178312301636,180
36,-98.21551717,446,16384,1,29.17,6.646905422210693,0.1238525390625,-2.699748688004911,0.2,0.010687623,0.0003,-0.012592351250259527,18.50391700807959,0.7222769856452942,190
33,-96.83854499,489,16384,1,28.88,10.742227554321289,0.118719482421875,-2.696006634272635,0.2,0.010011135,0.0003,-0.010490028595631884,23.89335902184248,0.6788879930973053,200
36,-96.53715930999999,449,16384,1,29.08,14.086092948913574,0.13477783203125,-2.6948267348110675,0.2,0.010884581,0.0003,-0.0124844803815904,20.08302689921111,0.7139599025249481,210
36,-97.88176757000001,449,16384,1,28.12,12.799025535583496,0.125079345703125,-2.691420554649085,0.2,0.00982463,0.0003,-0.012125520700465131,20.195869019813834,0.7212671637535095,220
35,-95.98369072999999,463,16384,1,29.19,23.443696975708008,0.11474609375,-2.690874542389065,0.2,0.010030251,0.0003,-0.011516355344701879,21.89463754557073,0.7130487859249115,230
33,-95.22694975,494,16384,1,30.01,9.99409294128418,0.11973876953125,-2.690326617844403,0.2,0.010611088,0.0003,-0.012540471283864462,21.926699878647923,0.7015917599201202,240
37,-95.77325610999998,438,16384,1,29.16,5.346067428588867,0.127972412109375,-2.6877157701179386,0.2,0.010843758,0.0003,-0.012393931175665784,23.909234795719385,0.6791287958621979,250
33,-97.23638867,489,16384,1,31.1,9.749468803405762,0.13038330078125,-2.6861759673804046,0.2,0.010619494,0.0003,-0.011672614990675356,20.00150872152299,0.7355210781097412,260
34,-95.12041771999999,481,16384,1,29.23,16.851015090942383,0.138323974609375,-2.6789566076360645,0.2,0.012200856,0.0003,-0.013548366328222983,26.320595498383046,0.6548050343990326,270
37,-93.63913427,442,16384,1,30.14,12.362421989440918,0.12716064453125,-2.6763187128119172,0.2,0.010319533,0.0003,-0.012371252459161042,21.745997647568583,0.7241065204143524,280
37,-96.84379146,434,16384,1,29.12,17.418073654174805,0.12265625,-2.674891225248575,0.2,0.010618197,0.0003,-0.012370761251258956,27.204033190384507,0.6557437181472778,290
34,-96.45323076999999,472,16384,1,30.86,21.59246063232422,0.131036376953125,-2.67060380699113,0.2,0.010758276,0.0003,-0.012666277647713286,32.56186122186482,0.6093485653400421,300
35,-96.68476194,462,16384,1,30.23,12.063304901123047,0.1222412109375,-2.6663879939354955,0.2,0.010461637,0.0003,-0.011855424594341458,28.40927208662033,0.6700189411640167,310
36,-95.54850351,453,16384,1,30.98,13.667863845825195,0.129534912109375,-2.6658710464835167,0.2,0.010897838,0.0003,-0.013176341281450732,26.91460469737649,0.6954671144485474,320
31,-96.76335721,528,16384,1,30.83,16.317874908447266,0.122796630859375,-2.665085369441658,0.2,0.010797024,0.0003,-0.011374969126973156,26.60478436462581,0.7064779996871948,330
33,-95.44580677999998,491,16384,1,31.47,12.741888999938965,0.12579345703125,-2.660336998756975,0.2,0.010784666,0.0003,-0.012581318185766577,29.01268866211176,0.6904249489307404,340
36,-93.71668338,448,16384,1,32.13,12.607221603393555,0.13717041015625,-2.6535539412871003,0.2,0.011301564,0.0003,-0.012775355494795804,32.15780949778855,0.6683657169342041,350
35,-93.85676281,463,16384,1,29.65,18.95501136779785,0.130010986328125,-2.647135727573186,0.2,0.011282466,0.0003,-0.012638001214281758,34.98793228380382,0.6553307473659515,360
34,-94.67615900999998,470,16384,1,31.32,19.137012481689453,0.129791259765625,-2.64336898541078,0.2,0.011044044,0.0003,-0.01260368169296271,37.867368404567245,0.6562549471855164,370
36,-96.24725958000003,446,16384,1,31.4,14.010337829589844,0.12999267578125,-2.639646983798593,0.2,0.010820381,0.0003,-0.011332146946006105,34.2870306968689,0.6649676561355591,380
37,-93.02412113999999,440,16384,1,29.2,16.984519958496094,0.1323974609375,-2.634870456717908,0.2,0.0106742475,0.0003,-0.012110885253059677,33.82054436318576,0.6829849779605865,390
35,-94.24781565,467,16384,1,30.29,15.581319808959961,0.1306884765625,-2.634657117072493,0.2,0.011014469,0.0003,-0.011106967236537457,36.12785431928933,0.6672442555427551,400
34,-92.77436254999999,481,16384,1,30.31,23.31163215637207,0.124261474609375,-2.6273158651776614,0.2,0.010819942,0.0003,-0.011001610775565496,38.568412040546534,0.6661249399185181,410
34,-93.26473308000003,469,16384,1,31.84,22.973793029785156,0.11805419921875,-2.624608913715929,0.2,0.01024501,0.0003,-0.010924928385793464,41.40437566265464,0.6452507376670837,420
37,-93.87773591999998,442,16384,1,29.79,26.73914909362793,0.125799560546875,-2.624051591567695,0.2,0.010554701,0.0003,-0.012441315195610514,44.81365280598402,0.6460092663764954,430
