time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/loss
7,-99.69169317000002,27.56,2100,1,16384,,,,,,,,,,
28,-99.68176669,26.95,1132,2,32768,-6.020069122314453e-05,0.003236882,-7.1873298874124885,0.05894775390625,298.86791889071463,0.0003,0.0017796931464545197,10,0.2,69.71747589111328
49,-99.52851392999999,27.72,998,3,49152,0.7671203166246414,0.005383592,-7.1881394404917955,0.039801025390625,24.587385719642043,0.0003,-0.0016603727595793315,20,0.2,9.30447769165039
68,-98.94944545999999,27.62,951,4,65536,0.6811572909355164,0.005727362,-7.184422440268099,0.05645751953125,9.864932524319737,0.0003,-0.0020741497596645786,30,0.2,4.605068206787109
88,-98.69118500999998,27.78,929,5,81920,0.8211430311203003,0.007267858,-7.170723987556994,0.07269287109375,7.880396332871169,0.0003,-0.0023638332218979484,40,0.2,6.174249649047852
106,-98.20527874999998,27.27,921,6,98304,0.8464394062757492,0.006868654,-7.1540186328813435,0.08076171875,8.242915127053857,0.0003,-0.001439742521597509,50,0.2,5.800195217132568
124,-98.83191268,27.58,918,7,114688,0.8376761376857758,0.007412255,-7.128856036998331,0.081695556640625,9.08757713008672,0.0003,-0.0008567694889279664,60,0.2,3.9713597297668457
7,-97.5479368,26.84,2320,1,16384,0.8189328163862228,0.0068854354,-7.107415866293013,0.074798583984375,10.390247079730035,0.0003,-0.0004613653652540961,70,0.2,5.925847053527832
25,-97.74408949999999,26.75,1305,2,32768,0.8308740705251694,0.007801767,-7.0889945399016145,0.095062255859375,9.850244468823075,0.0003,-0.0015037055240100018,80,0.2,6.398725986480713
43,-97.88675428999998,27.18,1121,3,49152,0.839508906006813,0.00997509,-7.07650403380394,0.114459228515625,8.920349992252886,0.0003,-0.0023729337692202533,90,0.2,5.274837493896484
62,-97.45314677000005,27.19,1050,4,65536,0.8157031089067459,0.007909353,-7.052710012346506,0.10057373046875,9.709713270887733,0.0003,-0.0014570923887731624,100,0.2,8.383522987365723
80,-97.35377014999999,27.27,1015,5,81920,0.8222934007644653,0.008924216,-6.979444024898112,0.12515869140625,10.16068058181554,0.0003,-0.0017551693659243028,110,0.2,3.1399738788604736
99,-96.05199203999999,26.41,992,6,98304,0.8359040319919586,0.008680185,-6.992443714663386,0.104010009765625,9.733473526500166,0.0003,-0.0008497856711073837,120,0.2,4.973647594451904
117,-95.55258421,25.79,975,7,114688,0.8322265595197678,0.009102554,-6.916453437693417,0.1130615234375,10.532986625097692,0.0003,-0.00010832534308065078,130,0.2,5.464041709899902
7,-95.05192830999998,25.47,2259,1,16384,0.8559417426586151,0.0084703015,-6.8271410273388025,0.121856689453125,9.261675108782947,0.0003,-0.0022660101669316644,140,0.2,3.736445665359497
25,-94.51591685,25.62,1271,2,32768,0.841993659734726,0.00913498,-6.8120603371411566,0.12542724609375,10.063806129433214,0.0003,0.00014708217249790324,150,0.2,3.2690305709838867
44,-93.94541874000002,24.36,1107,3,49152,0.8539848923683167,0.010432648,-6.72032937053591,0.12593994140625,9.708974142186344,0.0003,-0.0002766256083305052,160,0.2,4.755964279174805
62,-93.02833721,23.83,1040,4,65536,0.8557457029819489,0.008568159,-6.6837958173826335,0.130535888671875,9.466827797144651,0.0003,-0.0006926766848664556,170,0.2,3.6321780681610107
82,-90.58152312,22.17,987,5,81920,0.8590468615293503,0.010514511,-6.596815250255167,0.138677978515625,9.29292871709913,0.0003,-0.0013048037846601801,180,0.2,3.9359800815582275
103,-91.10566277000002,21.97,952,6,98304,0.8782937228679657,0.01006999,-6.422211881540716,0.127532958984375,8.300325554609298,0.0003,0.00022844409213576,190,0.2,5.879471778869629
122,-90.81268968999998,22.12,938,7,114688,0.8754463791847229,0.009863617,-6.362370300292969,0.1363037109375,8.721148802805692,0.0003,-0.0012819504831895756,200,0.2,2.6834354400634766
7,-90.22305294999998,22.27,2227,1,16384,0.8918468654155731,0.01166806,-6.278799014911056,0.150543212890625,7.659468829445541,0.0003,-9.501318559159699e-05,210,0.2,2.85628342628479
28,-90.15371783999998,22.65,1130,2,32768,0.8889969661831856,0.012173266,-6.25985469724983,0.14659423828125,8.057472286280245,0.0003,-0.0014452146860094218,220,0.2,3.4818520545959473
49,-88.62362099999999,21.96,998,3,49152,0.8914273232221603,0.0151930135,-6.166296950541437,0.151678466796875,8.355392103735358,0.0003,-0.002173485400908248,230,0.2,2.632713556289673
69,-89.31700796000003,23.17,945,4,65536,0.8772777616977692,0.014357816,-6.096062027849257,0.170599365234375,9.735091992281378,0.0003,-0.0005597302917522029,240,0.2,3.730292558670044
89,-88.97333397999999,23.01,918,5,81920,0.883172869682312,0.013276538,-6.038903422094881,0.17247314453125,9.125842619873584,0.0003,-0.0019636489045296913,250,0.2,5.938048839569092
109,-89.43908067000001,24.14,898,6,98304,0.8918989449739456,0.0135402195,-5.9643822148442265,0.190576171875,8.453201696183532,0.0003,-0.0031164912111762534,260,0.2,3.7134218215942383
130,-87.78681043,23.03,879,7,114688,0.8935709893703461,0.014202986,-5.97848153449595,0.181182861328125,8.814035126380622,0.0003,-0.002614254679883743,270,0.2,4.027827262878418
8,-86.15605321,23.7,2016,1,16384,0.885119803249836,0.015962481,-5.837917445786298,0.181494140625,9.917253396846354,0.0003,-0.002813752155361726,280,0.2,5.05361270904541
28,-86.18529105999998,25.19,1142,2,32768,0.8676846772432327,0.012529299,-5.723651727288962,0.180279541015625,12.829058511555194,0.0003,-0.004157430131726869,290,0.2,3.7629220485687256
49,-85.3565711,25.8,997,3,49152,0.8768096640706062,0.013277842,-5.686968298070132,0.178912353515625,12.300203611701727,0.0003,-0.0020865836199845944,300,0.2,5.891336917877197
