rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates
27.58,1,-99.176575,5,16384,3047,,,,,,,,,,
27.41,2,-99.05492288,20,32768,1569,-7.185920285247266,0.2,0.0053653996,0.0003,0.073089599609375,58.42106246948242,0.00033385302340320776,316.17115353792906,0.0020482540130615234,10
27.14,3,-98.79289292999998,36,49152,1351,-7.182753264717758,0.2,0.0052476805,0.0003,0.050360107421875,7.353290557861328,-0.0010574514052677842,25.408219923079013,0.7836861610412598,20
27.25,4,-98.97661878999997,51,65536,1283,-7.178306296654045,0.2,0.0062041185,0.0003,0.0634765625,3.7275686264038086,-0.0012865433513070458,8.98070213785395,0.6514792144298553,30
27.3,5,-98.35428738,66,81920,1234,-7.172729368507862,0.2,0.006143787,0.0003,0.0694091796875,4.9420270919799805,-0.0018963756946504874,7.952164202742279,0.8190486133098602,40
