time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/value_loss,train/loss,train/clip_range,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/entropy_loss
16384,27.44,52,-100.01838415,314,1,,,,,,,,,,
32768,27.07,259,-100.35785689999999,126,2,327.3847712531686,55.958621978759766,0.2,-0.00024878978729248047,0.0003,0.058447265625,0.005093895,10,0.0017161026177745953,-7.186006535403431
49152,27.45,407,-99.40135839999999,120,3,22.09975116495043,6.076502799987793,0.2,0.7671064138412476,0.0003,0.069000244140625,0.0063577956,20,-0.0016154522683791584,-7.1798996144905685
65536,27.85,540,-98.77600374,121,4,9.392808405682445,6.890505313873291,0.2,0.6737037599086761,0.0003,0.049639892578125,0.0053230813,30,-0.0006105059982473904,-7.172963915206492
81920,27.91,701,-98.86767566,116,5,7.782370105478913,3.645549774169922,0.2,0.8365734070539474,0.0003,0.076837158203125,0.00894303,40,-0.002950279740662154,-7.148175636492669
98304,27.61,824,-98.66791474,119,6,8.006465276889504,3.642185688018799,0.2,0.85545514523983,0.0003,0.0916748046875,0.007661177,50,-0.004590383913455298,-7.163614254072309
114688,27.43,910,-99.29884858000001,125,7,7.641739739663899,4.181060791015625,0.2,0.8659480959177017,0.0003,0.09144287109375,0.007917575,60,-0.0034925307420962783,-7.1491390964016315
16384,28.05,44,-99.35451116999998,372,1,7.878030366171151,3.093334197998047,0.2,0.8524367809295654,0.0003,0.09554443359375,0.0077429265,70,-0.002544023107748217,-7.132990056276322
32768,28.43,135,-98.57849291000002,241,2,9.295130500383674,4.366015434265137,0.2,0.8239193707704544,0.0003,0.08765869140625,0.007633161,80,-0.0010906545443504002,-7.114223184250295
49152,27.78,220,-98.09655306000002,222,3,8.751759658008814,4.342165946960449,0.2,0.8386570066213608,0.0003,0.093804931640625,0.0074771466,90,-0.0006533517799653055,-7.087982045672834
65536,27.75,306,-98.26878411,213,4,8.68932812632993,7.178739070892334,0.2,0.8441823124885559,0.0003,0.10574951171875,0.007941218,100,-0.0016064374567577033,-7.067207856848836
81920,27.93,392,-97.27075798,208,5,9.646880510635674,5.154928207397461,0.2,0.8315913528203964,0.0003,0.101702880859375,0.008294817,110,-0.0009160877219983376,-7.0515047665685415
98304,27.49,491,-96.88137936999999,200,6,9.480189596861601,4.279385089874268,0.2,0.8373070508241653,0.0003,0.11875,0.009392967,120,-0.00038562172412639486,-7.0081214111298324
114688,27.6,582,-96.85454168000003,196,7,10.525095069035888,4.05022668838501,0.2,0.8173066675662994,0.0003,0.109283447265625,0.008647851,130,-0.0011585721131268656,-6.99613477922976
16384,25.6,51,-95.5082906,321,1,10.170230483449995,2.8766908645629883,0.2,0.8334138542413712,0.0003,0.1259765625,0.009892901,140,-0.0024942473048668035,-6.947821759991347
32768,23.44,131,-93.88882597000001,249,2,9.077134796231984,4.596643447875977,0.2,0.8492826968431473,0.0003,0.139508056640625,0.00958461,150,-0.0005247390577096667,-6.878023812174797
49152,22.39,222,-92.37307929000002,221,3,7.20698182368651,3.7647409439086914,0.2,0.8869621530175209,0.0003,0.14632568359375,0.010536037,160,-0.0022092684502240446,-6.728496912121773
65536,22.4,309,-91.61913442000001,211,4,7.1458525454625486,3.2145144939422607,0.2,0.8923208862543106,0.0003,0.153900146484375,0.011861183,170,-0.0009298248828599753,-6.673936580307782
81920,20.16,403,-89.77997053000001,203,5,5.787198343547061,3.2007551193237305,0.2,0.9133876413106918,0.0003,0.171014404296875,0.0112914285,180,-0.0024695731769497796,-6.588940969482064
98304,18.83,491,-88.00601417999998,199,6,4.929785787314176,3.452274799346924,0.2,0.9278716668486595,0.0003,0.181402587890625,0.013099393,190,-0.003265743148767797,-6.433495672605932
114688,18.67,569,-87.86325545000001,201,7,4.023251310037449,1.637582540512085,0.2,0.9436685517430305,0.0003,0.195489501953125,0.015233157,200,-0.0028885844293199624,-6.244911405257881
16384,17.0,52,-85.79877221000002,310,1,3.2433424475602806,1.7573487758636475,0.2,0.9573796428740025,0.0003,0.2115966796875,0.013823184,210,-0.0031760348009811424,-6.114020022563636
32768,17.3,140,-85.59000065999999,232,2,2.498613235168159,2.0937862396240234,0.2,0.9669840820133686,0.0003,0.20904541015625,0.012743989,220,-0.002132941306081193,-5.95775950383395
49152,16.11,238,-84.39507496,205,3,1.8370995639823378,0.9148076772689819,0.2,0.9768293108791113,0.0003,0.2049560546875,0.0143280355,230,-0.0016291514062686473,-5.7956769619137045
65536,15.99,322,-84.35941021000001,202,4,1.4577781542902812,1.0680710077285767,0.2,0.982594745233655,0.0003,0.20003662109375,0.016850755,240,-0.00029755780219602456,-5.7194956632331015
81920,16.11,403,-84.16626064,203,5,1.2741041539702564,0.6540781259536743,0.2,0.9843669794499874,0.0003,0.2048095703125,0.017151248,250,-0.0002050415852863807,-5.618828692473471
98304,15.85,492,-84.10876623,199,6,1.185302817018237,0.7339367270469666,0.2,0.9857812821865082,0.0003,0.182177734375,0.012330796,260,-0.00015043405628603068,-5.50576754566282
114688,15.66,573,-83.79260704000001,200,7,1.2462624702602625,0.5069082975387573,0.2,0.985365173779428,0.0003,0.184490966796875,0.014429035,270,0.0028491454582763253,-5.461567327566445
16384,15.37,48,-83.70766432,339,1,1.218978967005387,0.9401127099990845,0.2,0.9856416890397668,0.0003,0.171099853515625,0.011525144,280,0.0014515516686515184,-5.359565238468349
32768,15.71,134,-83.57592137000002,243,2,1.0396200273535214,0.3769938349723816,0.2,0.987841771915555,0.0003,0.19364013671875,0.018090297,290,0.0019294407705274352,-5.2325646478682755
49152,15.65,227,-83.09845749000002,216,3,1.1412918283836917,0.7616825103759766,0.2,0.987012074328959,0.0003,0.164593505859375,0.012763764,300,0.0041761114517612444,-5.136353892087937
65536,15.49,307,-83.43595746999999,212,4,1.1573484904598446,0.8743749856948853,0.2,0.9865961596369743,0.0003,0.1658447265625,0.020077407,310,0.003557926268786105,-5.129073715955019
81920,15.26,405,-83.34317209999999,201,5,1.1358465391909705,0.42689889669418335,0.2,0.986117385327816,0.0003,0.165435791015625,0.015912807,320,0.0012080912595592963,-5.153597022406757
98304,15.38,497,-83.11869245,197,6,0.9852454925421625,0.44499772787094116,0.2,0.9888698477298021,0.0003,0.168170166015625,0.010352779,330,0.0031392725803925715,-5.083068623580038
114688,15.29,574,-82.99965073,199,7,1.0435063832439482,1.048611044883728,0.2,0.9885033769533038,0.0003,0.159222412109375,0.011027085,340,0.004040994459410285,-4.944532516784966
