time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range
259,63,42.38,-75.96222223,1,16384,-0.04076973505289061,0.043093897,0.602680891752243,42.81338119506836,1470,149.56347796469927,0.40706787109375,0.0003,-16.194016871973872,0.2
120,272,40.97,-76.70806037999999,2,32768,-0.04020462099888391,0.040838808,0.6401782333850861,84.27727508544922,1480,163.61566258966923,0.3986083984375,0.0003,-16.113801220804454,0.2
102,477,42.57,-73.39177171,3,49152,-0.042700141507884835,0.040956315,0.6054388284683228,71.94284057617188,1490,169.13706729412078,0.401910400390625,0.0003,-16.142728111147882,0.2
97,669,42.07,-76.35538811,4,65536,-0.04180395703606336,0.038167946,0.5393501818180084,60.439823150634766,1500,195.98852744698524,0.384564208984375,0.0003,-16.059435215592384,0.2
95,855,44.96,-71.58068046999999,5,81920,-0.04038021537999157,0.039215527,0.6491061151027679,72.79985046386719,1510,158.77619970738888,0.40128173828125,0.0003,-16.10734105333686,0.2
93,1054,40.88,-77.29778667000001,6,98304,-0.04012301648008361,0.0422123,0.6329478025436401,40.0360221862793,1520,148.0348877683282,0.408380126953125,0.0003,-16.03133767619729,0.2
91,1253,40.74,-76.86415158,7,114688,-0.04277442742732092,0.04152265,0.614167183637619,40.22368621826172,1530,160.5772421464324,0.40701904296875,0.0003,-16.016317830607296,0.2
245,66,41.39,-77.56311375000001,1,16384,-0.03836970209067658,0.041022666,0.652381032705307,66.52422332763672,1540,153.37264549434184,0.4046875,0.0003,-15.962879218906163,0.2
125,261,43.11,-76.63654910999999,2,32768,-0.04053026881938422,0.041045338,0.6487115323543549,48.14858627319336,1550,171.1773196145892,0.405828857421875,0.0003,-16.003389986604454,0.2
109,450,44.01,-71.79578805000001,3,49152,-0.04017268540183068,0.039385717,0.6577540338039398,69.68606567382812,1560,173.96130870580674,0.390478515625,0.0003,-15.94293167591095,0.2
101,644,40.34,-78.37719631,4,65536,-0.03923135841359908,0.038679726,0.6625366508960724,34.06589889526367,1570,160.19520491063594,0.3917236328125,0.0003,-15.920280946418643,0.2
97,842,46.95,-70.76256181,5,81920,-0.040457161425365484,0.037727166,0.6654151082038879,36.87680435180664,1580,186.8459995120764,0.378436279296875,0.0003,-15.95922980606556,0.2
94,1041,46.24,-73.39088411,6,98304,-0.04066365698008667,0.03758958,0.6111163794994354,58.38298034667969,1590,186.92851701974868,0.379913330078125,0.0003,-15.909025244414806,0.2
92,1246,39.62,-79.34471660999999,7,114688,-0.04103312769120748,0.04021455,0.6274024546146393,94.80904388427734,1600,187.95674232542515,0.397216796875,0.0003,-15.909968457370997,0.2
261,62,43.69,-71.36995085000001,1,16384,-0.04061078379927494,0.036415488,0.6171790361404419,85.38102722167969,1610,182.50859347581863,0.388671875,0.0003,-15.926726165413857,0.2
120,273,43.28,-75.02092941999999,2,32768,-0.03989840503600135,0.037943654,0.5948157012462616,84.7325668334961,1620,210.18525529503822,0.38388671875,0.0003,-15.925834380090237,0.2
102,479,43.62,-68.86053852,3,49152,-0.04078933272121503,0.04031682,0.6224886775016785,87.24493408203125,1630,176.49751667380332,0.401458740234375,0.0003,-16.008462080731988,0.2
98,664,42.73,-73.7930127,4,65536,-0.03820078443841339,0.036304753,0.6509047746658325,78.53951263427734,1640,210.93822551965712,0.3791748046875,0.0003,-15.944859249144793,0.2
95,860,47.24,-70.87846474999999,5,81920,-0.04035938741753853,0.037513178,0.6258165836334229,77.42334747314453,1650,203.76909419894218,0.3742431640625,0.0003,-15.828778046369553,0.2
93,1045,40.04,-78.41893293,6,98304,-0.04019983273519756,0.039476328,0.687502920627594,52.16794967651367,1660,176.68783083707095,0.387445068359375,0.0003,-15.846315722167493,0.2
91,1252,43.22,-74.98320065,7,114688,-0.03970844207506161,0.036952164,0.6736781299114227,68.24755859375,1670,191.75018487274647,0.3737060546875,0.0003,-15.777237024903297,0.2
232,70,45.63,-71.05886769,1,16384,-0.03890947331283314,0.040467568,0.6500646770000458,103.29169464111328,1680,171.8594318985939,0.40732421875,0.0003,-15.816550436615945,0.2
120,272,47.22,-69.99554723,2,32768,-0.038361812285165796,0.03816772,0.5844205021858215,71.4205551147461,1690,182.1336317718029,0.38189697265625,0.0003,-15.748820298910141,0.2
104,472,45.96,-69.00762474999999,3,49152,-0.03962224393244469,0.036308963,0.65248242020607,88.50919342041016,1700,197.84410612285137,0.3705322265625,0.0003,-15.700295116007329,0.2
96,681,50.25,-65.22789114000001,4,65536,-0.03854173185845866,0.037059613,0.6595748364925385,91.157958984375,1710,204.13841140568258,0.3704345703125,0.0003,-15.646136423945427,0.2
97,840,55.33,-55.58919273999999,5,81920,-0.0391798309377009,0.036493443,0.6729248464107513,67.14435577392578,1720,202.43704022467136,0.375732421875,0.0003,-15.588573805615306,0.2
