time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
3007,16384,27.25,5,-99.58847256000001,1,,,,,,,,,,
1384,32768,27.64,23,-99.66407573000002,2,0.011565078,0.132427978515625,-0.009964634898460644,1108.3027768492698,0.0003,0.2,-7.184195343591273,170.4512176513672,0.0026605725288391113,10
1151,49152,27.69,42,-99.39307927000002,3,0.009539944,0.06492919921875,-0.009975237875096354,148.1826046139002,0.0003,0.2,-7.175129806809127,13.489227294921875,0.7150066494941711,20
1052,65536,27.89,62,-98.97145793000001,4,0.011529542,0.158758544921875,-0.013761210084885534,10.850851302593947,0.0003,0.2,-7.153384941443801,5.016871452331543,0.8399330377578735,30
1023,81920,27.79,80,-98.79927610999998,5,0.011092521,0.1510498046875,-0.01329416444641538,5.002781207673252,0.0003,0.2,-7.135174343176186,2.147564649581909,0.8646578639745712,40
991,98304,28.1,99,-98.11377217,6,0.013281488,0.17362060546875,-0.01595366854803615,4.755739662516862,0.0003,0.2,-7.110499012470245,2.7073142528533936,0.9032393246889114,50
929,114688,29.19,123,-97.80440718999998,7,0.013416297,0.179388427734375,-0.016519205243184842,5.042205903213471,0.0003,0.2,-7.084779930487275,2.969608783721924,0.9073696210980415,60
2555,16384,28.71,6,-96.87366078,1,0.013209647,0.189935302734375,-0.01693378014715563,4.646970143774524,0.0003,0.2,-7.041325911693275,2.903803825378418,0.9165292307734489,70
1229,32768,28.62,26,-97.19803184999999,2,0.013788817,0.186126708984375,-0.015140709297429566,4.845019459072501,0.0003,0.2,-7.002595879510045,2.5507209300994873,0.9133279696106911,80
1062,49152,29.32,46,-96.57457446000001,3,0.013883375,0.18023681640625,-0.01447707839006398,5.259962979424745,0.0003,0.2,-6.965562742762268,4.729724884033203,0.9072470292448997,90
