time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
114688,24.64,-95.85051134999999,7,85,1344,0.009233769519050838,0.018256154,0.2,0.235552978515625,13.243719100952148,-15.725087370350957,0.0003,200,21.217370093241335,0.6529088318347931
16384,24.23,-96.11905977999999,1,225,72,0.010249917067449132,0.022073265,0.2,0.23192138671875,10.791193962097168,-15.895067286491393,0.0003,210,19.92641620002687,0.6764229238033295
32768,24.37,-96.28751272999997,2,121,269,0.010625285295782305,0.021306487,0.2,0.22510986328125,11.496604919433594,-15.520147405192256,0.0003,220,17.53092783279717,0.7165272533893585
49152,23.91,-95.32927509000001,3,104,468,0.009392439115435991,0.024129614,0.2,0.22777099609375,8.976709365844727,-15.07157555371523,0.0003,230,17.503648123890162,0.7063142359256744
65536,23.08,-95.31140771999999,4,95,686,0.010691932154895768,0.01938251,0.2,0.230694580078125,9.499878883361816,-14.813820360973477,0.0003,240,19.38427737802267,0.7000822722911835
81920,22.81,-94.20094041,5,91,893,0.00899218378999649,0.023557356,0.2,0.220892333984375,11.570639610290527,-15.28122468702495,0.0003,250,19.1520068153739,0.7077508866786957
98304,25.17,-95.58273530999999,6,89,1099,0.008074655282052845,0.014699468,0.2,0.209539794921875,7.754958152770996,-15.039117528870701,0.0003,260,19.029073141142725,0.692194253206253
114688,23.33,-96.82291105999998,7,87,1314,0.008464517202901334,0.016006896,0.2,0.213421630859375,8.036450386047363,-14.867295859009028,0.0003,270,17.82633663713932,0.7110954225063324
16384,23.52,-96.01078033,1,226,72,0.007384847111916315,0.013748115,0.2,0.216082763671875,5.803297519683838,-14.855221997201443,0.0003,280,17.59413411710411,0.7131914794445038
32768,24.1,-96.64891036,2,120,271,0.006955765936800163,0.015993634,0.2,0.212353515625,10.297221183776855,-15.263458327949047,0.0003,290,19.853745702654123,0.7014111578464508
49152,22.41,-94.96450279000001,3,107,456,0.008205932196506182,0.019569479,0.2,0.230291748046875,7.442965507507324,-15.201137560978532,0.0003,300,18.203874764405192,0.7104705274105072
65536,23.13,-94.47590980999998,4,97,669,0.008790302043234988,0.018354096,0.2,0.220782470703125,6.051941394805908,-15.165812412276864,0.0003,310,19.71348563954234,0.6823616325855255
81920,23.85,-95.13209837999999,5,94,869,0.008144093384180451,0.016076496,0.2,0.21270751953125,10.80520248413086,-15.566752626746894,0.0003,320,20.170257350429893,0.6962603628635406
98304,24.01,-95.70227646,6,89,1094,0.0074898569182551,0.020079438,0.2,0.216033935546875,6.909228324890137,-15.389701014012099,0.0003,330,18.43829474300146,0.713519424200058
114688,23.5,-94.95673670000002,7,88,1293,0.006457605234936636,0.014665242,0.2,0.19779052734375,9.641724586486816,-15.219392161071301,0.0003,340,18.155570022016764,0.7132858633995056
16384,23.63,-94.51221354,1,246,66,0.005880612558758003,0.017518299,0.2,0.19637451171875,11.335454940795898,-15.51076747328043,0.0003,350,18.447735102474688,0.7199202477931976
32768,23.97,-93.78136765999997,2,118,275,0.006045881393492891,0.013328168,0.2,0.1884033203125,8.164081573486328,-15.434591962769627,0.0003,360,18.046976821683348,0.723440408706665
49152,24.08,-94.52476297,3,101,484,0.00569874112643447,0.01633711,0.2,0.191558837890625,8.494537353515625,-15.271916712075472,0.0003,370,18.92529566064477,0.7151533663272858
65536,23.42,-95.97414858000002,4,93,698,0.004575690240562836,0.0151729705,0.2,0.19476318359375,6.647942543029785,-14.916316759958864,0.0003,380,17.692234020866454,0.7226839065551758
81920,23.87,-95.58502799,5,90,904,0.006672520553911454,0.014826214,0.2,0.2099853515625,8.037674903869629,-14.906201122701168,0.0003,390,17.60328496079892,0.708774209022522
98304,22.46,-93.62040928,6,88,1105,0.007800470775418944,0.016133577,0.2,0.2080078125,7.043492794036865,-14.770673893019557,0.0003,400,17.244599672965705,0.7309814989566803
114688,22.79,-94.04040673000002,7,86,1322,0.0062697243401999,0.01594428,0.2,0.2064697265625,7.109617710113525,-14.182168593257666,0.0003,410,17.0887762773782,0.7369890213012695
16384,23.61,-94.51100367,1,205,79,0.005896104626663146,0.016359337,0.2,0.19696044921875,11.003684043884277,-13.846234458684922,0.0003,420,16.860179030522705,0.7453600764274597
32768,22.46,-95.50891502999998,2,115,283,0.004189064125239383,0.015814932,0.2,0.18709716796875,7.771389961242676,-13.793348884955048,0.0003,430,15.847055014781654,0.7511351257562637
49152,23.04,-95.07147205999999,3,101,484,0.005737354623624924,0.014463903,0.2,0.196417236328125,12.551336288452148,-13.966492323949932,0.0003,440,17.41729087717831,0.7450385391712189
65536,22.69,-94.34911472000003,4,94,695,0.006832552167452377,0.018203525,0.2,0.196240234375,7.107626438140869,-13.901155828312039,0.0003,450,17.046133859083056,0.7350751757621765
81920,22.3,-93.08992821999999,5,91,894,0.007108698816591641,0.014771493,0.2,0.1943359375,11.476020812988281,-14.05678292773664,0.0003,460,16.015469716861844,0.7510669231414795
98304,22.54,-93.75045417,6,88,1114,0.00685397919105526,0.015193777,0.2,0.191845703125,9.019883155822754,-14.093480433523656,0.0003,470,17.599166099354626,0.7338696420192719
114688,23.86,-95.00800966000001,7,86,1323,0.0050301449095968565,0.017018346,0.2,0.191510009765625,10.13832950592041,-14.254681283608079,0.0003,480,16.010892755910753,0.7530870735645294
16384,22.08,-93.28046431000003,1,237,69,0.004028078319424822,0.012536474,0.2,0.183319091796875,7.000573635101318,-14.12433852404356,0.0003,490,16.379257837682964,0.7560745775699615
32768,22.64,-94.40045031000001,2,115,283,0.00605727366037172,0.015241196,0.2,0.199798583984375,6.821189880371094,-14.476892524212598,0.0003,500,15.922094698622823,0.761364683508873
49152,22.83,-93.09005765,3,100,487,0.004547920724417054,0.013480168,0.2,0.192254638671875,6.486849784851074,-14.383782314509153,0.0003,510,15.438420653156935,0.7623640447854996
65536,22.89,-95.77171962,4,93,701,0.0068369458393135575,0.019324128,0.2,0.204656982421875,6.8788862228393555,-14.301392864063383,0.0003,520,16.236491336859764,0.7567669898271561
81920,21.51,-93.83450868999998,5,89,910,0.005152124728556373,0.015408904,0.2,0.183709716796875,7.118836402893066,-14.007869231700898,0.0003,530,14.880099981091917,0.7600586861371994
98304,21.26,-91.72932666000001,6,86,1130,0.006560684165469866,0.017252252,0.2,0.204351806640625,7.321957588195801,-13.936076471582055,0.0003,540,15.63705376405269,0.7587013095617294
114688,22.34,-94.34970326999999,7,85,1347,0.0057032381493627325,0.014196685,0.2,0.198028564453125,7.39246940612793,-14.132863978669047,0.0003,550,15.732945305854082,0.7709214836359024
16384,22.7,-94.2164229,1,214,76,0.006373253192941774,0.012396937,0.2,0.191424560546875,9.28277587890625,-14.300452160835267,0.0003,560,14.47932166568935,0.7828702032566071
32768,23.14,-93.1178228,2,119,274,0.006191669919917331,0.017463043,0.2,0.19012451171875,10.082590103149414,-14.561008812487126,0.0003,570,15.696324308589102,0.7771207988262177
