time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates
2153,-82.41729546,33.46,6,98304,45,0.107720947265625,0.0003,0.2,3.2594141960144043,-0.007672306126369222,-1.8323334158863873,0.9175176024436951,0.00821753,10.59116466473788,260
2130,-82.35192758,33.81,7,114688,53,0.096343994140625,0.0003,0.2,4.218250274658203,-0.006979676959326752,-1.811247320752591,0.9097338169813156,0.008912905,11.851898458041251,270
4718,-81.00567475999999,34.26,1,16384,3,0.103466796875,0.0003,0.2,4.578758716583252,-0.00669702068157676,-1.8036825079936534,0.91728625446558,0.008910465,11.11521758865565,280
2758,-80.52607097999999,33.37,2,32768,11,0.10169677734375,0.0003,0.2,3.929542303085327,-0.006213323074643995,-1.7697438232135028,0.9151770994067192,0.008736452,12.14948550760746,290
2448,-80.85446739000001,33.36,3,49152,20,0.11055908203125,0.0003,0.2,3.712855815887451,-0.00717238305724095,-1.7604867852292956,0.9149043187499046,0.009095898,12.717330387234687,300
2316,-79.60470356000002,33.31,4,65536,28,0.098077392578125,0.0003,0.2,6.154922962188721,-0.006313902321926435,-1.7407303691841662,0.8935254290699959,0.007749306,16.281204925477503,310
2246,-78.78296531,33.81,5,81920,36,0.0890625,0.0003,0.2,7.43068790435791,-0.00519430138374446,-1.7212004323955625,0.9093142077326775,0.0075677773,14.190190134383737,320
2189,-78.14099930999998,33.41,6,98304,44,0.106396484375,0.0003,0.2,7.772403717041016,-0.006307538619012121,-1.7039940307848156,0.8935159295797348,0.008772282,17.127698712795972,330
2161,-78.54506117,32.97,7,114688,53,0.08331298828125,0.0003,0.2,11.719376564025879,-0.004330191705503239,-1.6841011442709715,0.8814452439546585,0.007573581,19.261233512684704,340
4743,-77.48320075,34.36,1,16384,3,0.0938720703125,0.0003,0.2,5.745260238647461,-0.005402520965526491,-1.6887346330098807,0.8940046653151512,0.008444947,17.423572626523672,350
2811,-77.97667152,33.91,2,32768,11,0.0897216796875,0.0003,0.2,7.535099029541016,-0.00542272387401681,-1.6821406524628402,0.907618373632431,0.00863521,15.726368325017393,360
2451,-77.1726342,34.51,3,49152,20,0.10020751953125,0.0003,0.2,8.031088829040527,-0.006442413235345157,-1.6657665787730367,0.9003788158297539,0.008996333,17.402646526880563,370
2316,-75.94515170000001,34.34,4,65536,28,0.10533447265625,0.0003,0.2,8.312599182128906,-0.005984543557178768,-1.6492283455096186,0.909745529294014,0.008367233,15.985828293673695,380
2247,-75.5664179,33.66,5,81920,36,0.09736328125,0.0003,0.2,4.104508399963379,-0.006343233637198864,-1.6213421814143658,0.908789187669754,0.008122353,16.31232107579708,390
2194,-74.88309437999999,34.36,6,98304,44,0.0972900390625,0.0003,0.2,11.376504898071289,-0.005971798530754313,-1.6156047358177603,0.8928877860307693,0.007836086,20.182809997536243,400
2160,-74.48673375,35.12,7,114688,53,0.090509033203125,0.0003,0.2,9.095399856567383,-0.005419255008018808,-1.5955887072253971,0.8981058895587921,0.007891638,19.687675985693932,410
4728,-73.14858335,35.33,1,16384,3,0.096661376953125,0.0003,0.2,11.107474327087402,-0.0065190602376787865,-1.5711560325697065,0.9124475196003914,0.007856454,17.533742346055806,420
