rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/policy_loss,time/iterations,train/learning_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps
-97.26316423999998,-6.501387119293213,-0.007816195487976074,980.2033081054688,99,-79.45645904541016,100,0.0007,1,2241,26.69,4000
-95.07840766000001,-6.22525691986084,0.0011380910873413086,1206.0107421875,199,-81.65864562988281,200,0.0007,3,2131,24.26,8000
-93.83897295999999,-5.944338321685791,0.006968259811401367,646.8176879882812,299,-44.86772918701172,300,0.0007,5,2326,23.27,12000
-91.67890199,-5.4749064445495605,0.04273271560668945,1312.0194091796875,399,-92.37532806396484,400,0.0007,6,2303,22.35,16000
-91.68043442000003,-5.524718284606934,0.04194450378417969,1687.0084228515625,499,-129.39700317382812,500,0.0007,9,2173,21.89,20000
-89.63376227999998,-5.331574440002441,0.647168904542923,6.6597161293029785,599,8.999011039733887,600,0.0007,11,2171,20.91,24000
-86.88993348,-4.839597702026367,0.7058478891849518,5.464539051055908,699,-0.9114794731140137,700,0.0007,12,2186,18.24,28000
-86.25904634,-4.813482761383057,0.21973508596420288,641.6536865234375,799,-45.64039611816406,800,0.0007,14,2228,18.14,32000
-87.39870022000002,-4.592498779296875,0.35803383588790894,84.97398376464844,899,-10.939104080200195,900,0.0007,15,2281,18.48,36000
-84.25974813,-3.5516529083251953,0.27875757217407227,283.48272705078125,999,-23.53450584411621,1000,0.0007,17,2320,16.5,40000
-85.98492431000001,-4.789749622344971,0.2333783507347107,301.0693664550781,1099,-24.49991798400879,1100,0.0007,18,2342,17.7,44000
-88.43534964,-5.527120113372803,0.22890591621398926,460.5189514160156,1199,-60.34061813354492,1200,0.0007,20,2352,19.45,48000
-91.03886190999998,-5.768942356109619,0.3385341167449951,293.57379150390625,1299,-40.90037536621094,1300,0.0007,21,2376,21.02,52000
-88.89660957,-5.201786518096924,0.3098124861717224,161.42642211914062,1399,-16.90766716003418,1400,0.0007,23,2401,19.52,56000
-90.62792515,-4.798653602600098,0.41541290283203125,204.05226135253906,1499,-30.338886260986328,1500,0.0007,24,2421,20.3,60000
-90.57435181000001,-4.841894626617432,0.3952815532684326,108.4324722290039,1599,-9.447888374328613,1600,0.0007,26,2441,20.39,64000
-91.93205268000001,-4.793995380401611,0.3878738284111023,67.5928955078125,1699,-11.74487018585205,1700,0.0007,27,2456,21.7,68000
-89.31483581999997,-4.9093427658081055,0.6984161138534546,17.5106258392334,1799,-1.625627875328064,1800,0.0007,29,2469,20.3,72000
-88.19796214,-4.0335469245910645,0.6953068375587463,103.77778625488281,1899,-34.907989501953125,1900,0.0007,30,2484,19.75,76000
-88.66503295000001,-4.19385290145874,0.7769436985254288,84.08384704589844,1999,-27.527118682861328,2000,0.0007,32,2496,20.57,80000
-88.60562069000001,-4.248355388641357,0.8937538787722588,5.750779151916504,2099,-0.05556819587945938,2100,0.0007,33,2509,20.94,84000
-87.32768157999999,-4.2506303787231445,0.931092232465744,5.118088245391846,2199,-0.11071367561817169,2200,0.0007,34,2520,19.91,88000
-87.59864882999999,-4.0867919921875,0.9537645429372787,6.112010955810547,2299,-3.0604472160339355,2300,0.0007,36,2529,20.53,92000
