train/n_updates,train/value_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,time/fps,time/iterations
9192,5.92333459854126,51200,0.003,18.53,25,0.44559359550476074,-0.06427337229251862,0.96164920181036,-83.4987021,1975,200
9292,3.262746810913086,76800,0.003,16.42,39,-0.09925723075866699,-0.11749175190925598,0.9654522649943829,-82.50066527999999,1949,300
9483,9.31451416015625,25600,0.003,18.25,12,0.3368975520133972,-0.13161471486091614,0.9297622442245483,-82.95903904000001,2083,100
9583,4.474135398864746,51200,0.003,18.54,23,-0.15374402701854706,-0.13823604583740234,0.9552490599453449,-82.80888663,2157,200
9683,4.172670364379883,76800,0.003,17.19,33,0.5672526955604553,-0.12901277840137482,0.9769352152943611,-82.75367207000001,2268,300
9874,4.971764087677002,25600,0.003,18.33,10,-0.19666337966918945,-0.20946615934371948,0.9457085281610489,-83.13362640999999,2371,100
9974,6.511473655700684,51200,0.003,18.01,20,-0.9678283929824829,-0.23942990601062775,0.9539873972535133,-82.79773225999999,2523,200
10074,6.382323265075684,76800,0.003,16.92,29,0.40395885705947876,-0.10890809446573257,0.9469652250409126,-83.15341186000002,2564,300
10265,4.420036315917969,25600,0.003,18.01,9,-0.9792219996452332,-0.23014773428440094,0.9696537293493748,-83.28832832,2622,100
10365,4.014141082763672,51200,0.003,17.71,21,0.16156890988349915,-0.18400675058364868,0.9631626009941101,-82.82858273,2385,200
10465,5.535760879516602,76800,0.003,16.87,35,-0.7344951033592224,-0.14200003445148468,0.9531963281333447,-82.64110892000001,2134,300
10656,4.864687442779541,25600,0.003,18.24,14,-0.4904434084892273,-0.20271603763103485,0.9506275653839111,-82.98984484,1763,100
10756,3.4375808238983154,51200,0.003,18.05,29,0.3791920840740204,-0.14771431684494019,0.9704708233475685,-83.27127887,1756,200
10856,2.609156847000122,76800,0.003,18.81,43,0.15462830662727356,-0.07720073312520981,0.9756813161075115,-83.69787683,1759,300
11047,12.752603530883789,25600,0.003,18.36,13,0.7514784336090088,-0.12763510644435883,0.925773948431015,-82.51034000000001,1908,100
11147,10.600953102111816,51200,0.003,17.78,26,0.15584412217140198,-0.1348845660686493,0.8947821781039238,-82.41157790000001,1909,200
11247,3.4056074619293213,76800,0.003,18.4,39,-0.06623132526874542,-0.037579238414764404,0.9753401223570108,-83.73076427,1942,300
11438,3.3419437408447266,25600,0.003,18.06,13,-0.44327494502067566,-0.10267051309347153,0.9813888054341078,-82.79381090000001,1937,100
11538,3.027520179748535,51200,0.003,16.36,26,0.3001821041107178,-0.1134289801120758,0.979700630530715,-82.82096332,1930,200
11638,9.836260795593262,76800,0.003,17.1,39,0.9009214639663696,-0.14402523636817932,0.9389562457799911,-82.79660994,1920,300
11829,2.354588508605957,25600,0.003,18.12,14,0.10340345650911331,-0.16888387501239777,0.9764378517866135,-82.62728174000002,1719,100
11929,3.0533719062805176,51200,0.003,17.51,23,-0.2697262763977051,-0.12911143898963928,0.9735178761184216,-82.25848176,2153,200
12029,4.065064430236816,76800,0.003,18.25,31,0.30763623118400574,-0.10313502699136734,0.9773042444139719,-82.74303028000003,2461,300
12220,12.013585090637207,25600,0.003,17.99,7,-0.8375086784362793,-0.1015634834766388,0.9531049244105816,-82.67262452000001,3470,100
12320,2.2953782081604004,51200,0.003,18.33,14,-0.02096322923898697,-0.06228749826550484,0.9745888318866491,-83.58028860000002,3458,200
12420,4.178608417510986,76800,0.003,18.31,22,0.41649508476257324,-0.19375987350940704,0.9664720520377159,-82.80349339,3469,300
